doc_id,run_id,topic_id,gt_topic,topic_prob,topic_assigned,silhouette
test/14826,baseline_run,baseline_run-TOPIC_17,trade,0.0166657723547577,baseline_run-TOPIC_58,-0.0293268677146184
test/14826,baseline_run,baseline_run-TOPIC_21,trade,0.228609420808405,baseline_run-TOPIC_58,-0.0293268677146184
test/14826,baseline_run,baseline_run-TOPIC_27,trade,0.00778801762207961,baseline_run-TOPIC_58,-0.0293268677146184
test/14826,baseline_run,baseline_run-TOPIC_56,trade,0.112876462169534,baseline_run-TOPIC_58,-0.0293268677146184
test/14826,baseline_run,baseline_run-TOPIC_58,trade,0.538831725539106,baseline_run-TOPIC_58,-0.0293268677146184
test/14826,baseline_run,baseline_run-TOPIC_60,trade,0.0248847117797585,baseline_run-TOPIC_58,-0.0293268677146184
test/14828,baseline_run,baseline_run-TOPIC_21,grain,0.165841012127734,baseline_run-TOPIC_58,-0.0322266324013691
test/14828,baseline_run,baseline_run-TOPIC_34,grain,0.172061296520327,baseline_run-TOPIC_58,-0.0322266324013691
test/14828,baseline_run,baseline_run-TOPIC_58,grain,0.465671162277031,baseline_run-TOPIC_58,-0.0322266324013691
test/14828,baseline_run,baseline_run-TOPIC_60,grain,0.058578704019723,baseline_run-TOPIC_58,-0.0322266324013691
test/14839,baseline_run,baseline_run-TOPIC_21,ship,0.14370383440288,baseline_run-TOPIC_58,-0.00870579929008903
test/14839,baseline_run,baseline_run-TOPIC_32,ship,0.0229069636732687,baseline_run-TOPIC_58,-0.00870579929008903
test/14839,baseline_run,baseline_run-TOPIC_34,ship,0.0132968493728253,baseline_run-TOPIC_58,-0.00870579929008903
test/14839,baseline_run,baseline_run-TOPIC_58,ship,0.695480468627176,baseline_run-TOPIC_58,-0.00870579929008903
test/14842,baseline_run,baseline_run-TOPIC_21,gold,0.0786062721980752,baseline_run-TOPIC_58,-0.0308553370318228
test/14842,baseline_run,baseline_run-TOPIC_30,gold,0.16678492013608,baseline_run-TOPIC_58,-0.0308553370318228
test/14842,baseline_run,baseline_run-TOPIC_32,gold,0.0179186830100424,baseline_run-TOPIC_58,-0.0308553370318228
test/14842,baseline_run,baseline_run-TOPIC_33,gold,0.186344199506116,baseline_run-TOPIC_58,-0.0308553370318228
test/14842,baseline_run,baseline_run-TOPIC_58,gold,0.414514230577261,baseline_run-TOPIC_58,-0.0308553370318228
test/14843,baseline_run,baseline_run-TOPIC_6,acq,0.0205354868141044,baseline_run-TOPIC_58,-0.0213111070342141
test/14843,baseline_run,baseline_run-TOPIC_7,acq,0.181635181418616,baseline_run-TOPIC_58,-0.0213111070342141
test/14843,baseline_run,baseline_run-TOPIC_13,acq,0.0114551651029917,baseline_run-TOPIC_58,-0.0213111070342141
test/14843,baseline_run,baseline_run-TOPIC_21,acq,0.0822895122027044,baseline_run-TOPIC_58,-0.0213111070342141
test/14843,baseline_run,baseline_run-TOPIC_27,acq,0.0211176467528709,baseline_run-TOPIC_58,-0.0213111070342141
test/14843,baseline_run,baseline_run-TOPIC_56,acq,0.0151994123917507,baseline_run-TOPIC_58,-0.0213111070342141
test/14843,baseline_run,baseline_run-TOPIC_58,acq,0.544437715889298,baseline_run-TOPIC_58,-0.0213111070342141
test/14843,baseline_run,baseline_run-TOPIC_60,acq,0.0364918043630316,baseline_run-TOPIC_58,-0.0213111070342141
test/14844,baseline_run,baseline_run-TOPIC_32,tin,0.464197135200219,baseline_run-TOPIC_32,-0.0164649371598078
test/14844,baseline_run,baseline_run-TOPIC_58,tin,0.372726979333487,baseline_run-TOPIC_32,-0.0164649371598078
test/14854,baseline_run,baseline_run-TOPIC_21,ipi,0.13707068343489,baseline_run-TOPIC_58,-0.0541804239456755
test/14854,baseline_run,baseline_run-TOPIC_52,ipi,0.0325590760142623,baseline_run-TOPIC_58,-0.0541804239456755
test/14854,baseline_run,baseline_run-TOPIC_58,ipi,0.676360533482382,baseline_run-TOPIC_58,-0.0541804239456755
test/14859,baseline_run,baseline_run-TOPIC_37,earn,0.292823250530718,baseline_run-TOPIC_58,-0.036358900135716
test/14859,baseline_run,baseline_run-TOPIC_58,earn,0.554458062237605,baseline_run-TOPIC_58,-0.036358900135716
