run_id,topic_id,top_term_order,top_term,top_prob
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,1,lasv,0.000699242942938518
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,2,filmarray,0.000600126929274573
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,3,furin,0.000544305710975997
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,4,pertussi,0.000526986136761358
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,5,ire,0.000432973280951457
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,6,bordetella,0.000395065991314098
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,7,bronchiseptica,0.000332403535176001
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,8,rpa,0.000323885672880755
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,9,readthrough,0.000291447909856329
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,10,laiv,0.000284236675998322
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,11,cov-hku1,0.000241297248882517
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,12,pi4kb,0.000230338625543568
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,13,phosphatidylinositol,0.000223133786876976
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,14,rna2,0.000216185192647918
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,15,hydrogel,0.000212162964138165
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,16,tsutsugamushi,0.000207447651691701
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,17,kim,0.000195548678751013
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,18,mopv,0.000194911863615529
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,19,ntm,0.000194173735028958
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,20,dogcv,0.000187212460734231
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,21,lri,0.000184776146050955
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,22,rna1,0.000175997221229046
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,23,rrv,0.000175365276699993
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,24,pylori,0.000171569256495273
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,25,cotton,0.000169571559016528
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,26,losartan,0.0001686581126202
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,27,dnax,0.000161937704117232
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,28,cbdvg,0.000160634049061147
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,29,ptm,0.000156654194899018
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,30,uda,0.000156430682019113
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,31,biomonitor,0.000156063548079471
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,32,stec,0.000155993986046137
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,33,nsp6,0.000153321574892121
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,34,hepatectomi,0.000153274046302236
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,35,sin,0.000150620636229691
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,36,vimentin,0.000150334819158339
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,37,rna3,0.000149434757945451
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,38,traf3,0.000147848429406348
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,39,rickettsia,0.000145708763428436
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,40,egr-1,0.000145662045280814
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,41,auri,0.000145037421534659
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,42,nucleostemin,0.000143834491806318
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,43,shc014,0.000142500673710304
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,44,thermomet,0.000141458425544906
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,45,fcrn,0.000141368742775363
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,46,typhu,0.000140636100841816
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,47,glycosyltransferas,0.000139542938821193
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,48,cdc42,0.000139276373421706
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,49,poct,0.00013927353629049
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,50,epistasi,0.00013889119151721
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,51,ceacam16,0.000138227901460764
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,52,stefin,0.000136206736991751
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,53,antirotaviru,0.000135668918446254
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,54,hainan,0.000135354747616663
4248028d-d89a-4e2,4248028d-d89a-4e2-TOPIC_0,55,immunodiagnosi,0.00013509518932241
